Isoform	NumberOfAmpliconsTargetingIsoform
c83446f1p03632	8
c87776f1p13420	8
c94331f1p13803	9
SP803280_c107201_g1_i3	9
Sspon.003C0006180-mRNA-1	2
Sspon.003C0006231-mRNA-1	8
Sspon.003D0003350-mRNA-1	8
SUGdenovo-0848368	1
Sspon.006A0022152-mRNA-1	1
c28283f1p01556	1
Sspon.006D0020830-mRNA-1	1
Sspon.006B0021610-mRNA-1	1
SUGdenovo-0661770	7
SUGdenovo-0701683	3
SUGdenovo-0701690	7
SUGdenovo-0701691	3
SUGdenovo-0701692	3
SUGdenovo-0741961	7
SUGdenovo-0741962	6
c27862f1p21143	2
evm.model.SCSP803280_000088655.1	1
Sh_241M24_t000050	1
SUGdenovo-0634778	1
SUGdenovo-0634785	2
c19185f1p0764	1
c47740f1p01562	2
c68454f1p01600	2
c82935f1p01654	2
SCJLLR1033F02.g	4
c77990f3p01685	2
c122514f1p1915	2
c60360f1p11095	3
c75081f1p01031	3
c79131f4p0843	2
c8467f1p01081	4
Sspon.003A0022330-mRNA-1	4
Sspon.003C0030700-mRNA-1	6
c40142f1p0864	2
c67643f1p1775	6
Sspon.005B0018320-mRNA-1	3
SCJFRZ2032G01.g	1
SCRFLR1012F03.g	2
c81772f1p13316	2
c17707f3p31924	2
c42290f1p01930	2
SUGdenovo-0133185	8
c23916f1p21811	7
c32435f3p21876	7
c42187f1p11882	7
c47555f2p01841	7
SCQSLR1040B05.g	8
SP803280_c103827_g4_i1	8
Sspon.001C0009296-mRNA-1	8
Sspon.001C0009620-mRNA-1	7
SUGdenovo-0190278	8
SUGdenovo-0690976	8
SUGdenovo-0690978	7
SUGdenovo-0732982	7
Sspon.001B0014720-mRNA-1	1
c42730f1p01426	1
Sh_236C11_t000050	1
SUGdenovo-0407068	2
Sspon.004B0023310-mRNA-1	1
c107291f1p04993	3
SUGdenovo-0710981	5
SUGdenovo-0803923	1
c103193f2p14846	2
SCSGRT2062A03.g	1
c12256f3p21988	3
SCCCLR2003H03.g	1
Sspon.004D0003820-mRNA-1	1
c61025f1p11238	5
c69516f1p01677	5
c87041f1p13312	5
c94604f1p02839	5
c99449f1p22948	5
Sh_245I08_t000020	4
SP803280_c111302_g1_i1	4
SP803280_c111302_g1_i2	5
SP803280_c111302_g1_i3	5
Sspon.004A0002360-mRNA-1	5
Sspon.004B0001580-mRNA-1	4
Sspon.004C0002831-mRNA-1	5
Sspon.ctg0635880-mRNA-1	4
c83565f1p11061	1
SP803280_c102057_g1_i4	1
SCAGRT2037G07.g	1
Sspon.005D0026340-mRNA-1	2
c40162f1p01401	3
c81821f1p12250	3
c97080f1p02059	6
Sspon.001C0001273-mRNA-1	2
Sspon.001D0001620-mRNA-1	3
SUGdenovo-0683306	2
SUGdenovo-0683308	5
c98012f1p02404	3
SUGdenovo-0573335	2
SUGdenovo-0573344	6
SUGdenovo-0573353	6
SUGdenovo-0573368	2
SUGdenovo-0723453	3
SUGdenovo-0573337	5
SUGdenovo-0573366	5
SCCCCL3002E04.b	1
SUGdenovo-0856217	1
c54803f1p01052	1
c33409f1p0527	1
c110831f1p14803	3
SCCCCL4003E08.g	2
SUGdenovo-0737839	11
c30193f1p01744	2
evm.model.SCSP803280_000108937.1	2
c30296f2p11991	12
c43316f1p11981	11
c87805f1p02026	11
SP803280_c113979_g1_i1	9
SP803280_c113979_g1_i7	9
Sspon.007D0004490-mRNA-1	11
SUGdenovo-0633534	10
SUGdenovo-0656350	11
SUGdenovo-0656352	10
SUGdenovo-0656356	10
SUGdenovo-0656359	11
SUGdenovo-0656362	10
SUGdenovo-0633536	6
SUGdenovo-0633537	6
SUGdenovo-0633539	6
c52654f1p01702	4
SUGdenovo-0242227	1
SP803280_c113979_g1_i5	1
SUGdenovo-0803922	1
SP803280_c113038_g1_i2	2
Sspon.002C0020910-mRNA-1	2
SUGdenovo-0813275	1
Sspon.002A0019310-mRNA-1	2
Sspon.002B0016530-mRNA-1	1
c119143f1p42180	3
c93457f1p21792	2
Sh_205A13_t000010	3
SP803280_c117830_g1_i1	5
SUGdenovo-0693891	2
Sspon.003A0008840-mRNA-1	1
Sspon.004D0003801-mRNA-1	1
SUGdenovo-0243174	1
Sh_213B02_t000100	4
Sspon.001B0020870-mRNA-1	1
c52116f1p11616	1
SUGdenovo-0529712	5
SUGdenovo-0741424	2
SUGdenovo-0721397	1
Sspon.007B0014930-mRNA-1	1
SUGdenovo-0475929	1
SP803280_c97445_g1_i1	3
evm.model.SCSP803280_000004459.1	10
Sh03_t020670	10
Sh_247D17_t000100	11
Sspon.003A0008270-mRNA-1	11
Sspon.003D0010721-mRNA-1	11
SUGdenovo-0464186	7
SUGdenovo-0464190	7
SUGdenovo-0464192	7
SUGdenovo-0464193	7
SUGdenovo-0464195	7
SUGdenovo-0464197	7
SUGdenovo-0640170	7
SUGdenovo-0712584	10
Sspon.005B0022823-mRNA-1	2
Sh_230K22_t000010	1
SUGdenovo-0648769	3
c99445f1p02662	1
SP803280_c83905_g1_i1	3
SUGdenovo-0588374	2
SUGdenovo-0588381	2
SUGdenovo-0588383	6
SUGdenovo-0588385	6
c85086f1p11620	5
c85539f1p01589	5
Sspon.001A0013240-mRNA-1	2
Sspon.001C0013532-mRNA-1	4
Sspon.001B0016850-mRNA-1	4
Sspon.001C0013510-mRNA-1	5
Sspon.001D0014570-mRNA-1	5
Sspon.001D0014560-mRNA-1	4
c92121f1p23190	2
SCEZAD1079D11.g	1
c104592f1p34438	4
Sspon.007C0009570-mRNA-1	1
SP803280_c104095_g1_i2	2
Sspon.004C0025730-mRNA-1	1
evm.model.SCSP803280_000039997.1	1
Sspon.002B0009261-mRNA-1	1
Sspon.002A0010990-mRNA-1	1
c71781f1p21771	3
c86378f1p23317	4
Sh_218I18_t000060	3
c31450f2p11524	2
c36835f1p01047	13
c53459f1p0588	13
c72732f3p71794	14
c73413f1p11483	14
SP803280_c109961_g1_i2	15
Sspon.002A0011000-mRNA-1	13
Sspon.002D0008460-mRNA-1	14
SUGdenovo-0316041	15
SUGdenovo-0559430	14
SUGdenovo-0559434	14
SUGdenovo-0559436	14
SUGdenovo-0559437	14
SUGdenovo-0559438	14
SUGdenovo-0559439	14
SUGdenovo-0741417	14
SUGdenovo-0741419	14
SUGdenovo-0741421	15
c44774f1p01724	3
c55701f6p81837	3
Sspon.001B0024111-mRNA-1	1
SCCCAM2001C04.g	1
SCAGCL6016B11.g	1
c106705f1p04726	9
SP803280_c95707_g1_i1	2
Sspon.003A0008781-mRNA-1	1
SUGdenovo-0627193	5
Sh03_t019620	1
Sspon.007D0005020-mRNA-1	5
c96403f1p01132	4
SP803280_c117758_g1_i6	1
Sh09_t008050	5
c103699f2p14891	3
c114763f1p14309	2
Sh05_t000460	2
Sh_204N17_t000120	1
Sspon.002B0003370-mRNA-1	1
SUGdenovo-0010500	1
SUGdenovo-0861201	1
Sspon.007C0001731-mRNA-1	7
SUGdenovo-0042325	1
SP803280_c83905_g3_i1	4
SP803280_c83905_g3_i2	3
SUGdenovo-0789084	3
c20438f1p01133	7
c22245f1p01070	7
c48807f1p01005	7
Sh01_t007730	7
Sh_027I16_t000100	10
Sh_033L20_t000050	7
Sh_119J13_t000070	9
SP803280_c99080_g2_i1	9
SUGdenovo-0427574	9
SUGdenovo-0215753	1
Sspon.001D0035010-mRNA-1	3
c4404f1p21394	1
c117515f2p56249	6
evm.model.SCSP803280_000001928.1	3
SP803280_c118160_g3_i1	4
c104930f1p15167	3
c109229f1p25089	4
c118772f1p46702	6
c120203f1p05696	6
evm.model.SCSP803280_000112942.1	2
SP803280_c105450_g4_i1	2
SUGdenovo-0014815	1
Sspon.001A0001290-mRNA-1	1
SUGdenovo-0513165	1
SUGdenovo-0293362	1
SUGdenovo-0758462	1
Sspon.003A0008820-mRNA-1	1
Sspon.003B0012610-mRNA-1	2
SUGdenovo-0165653	1
SUGdenovo-0211425	1
Sspon.002D0018250-mRNA-1	3
Sspon.006D0010140-mRNA-1	5
Sspon.004C0022120-mRNA-1	2
c97781f1p0688	1
c108473f1p45077	9
c110359f1p04002	9
c34690f1p01039	7
c63974f1p0958	7
c65619f1p01564	8
c84234f1p11167	7
c92367f1p13038	8
c95057f1p13337	8
c96777f1p03290	8
SCJFST1048E05.g	7
Sh_234G14_t000100	9
SP803280_c109890_g2_i1	8
Sspon.003B0011960-mRNA-1	8
Sspon.003C0015582-mRNA-1	9
Sspon.003D0010410-mRNA-1	9
SUGdenovo-0557348	9
c29221f1p31491	2
Sspon.006B0009490-mRNA-1	5
Sh03_t020060	1
c11352f1p51622	3
c120912f1p61919	3
Sspon.003D0011490-mRNA-1	3
SUGdenovo-0758459	1
Sh_032N03_t000060	1
Sh_001G20_t000030	8
c45072f1p0861	1
Sh_014G09_t000060	8
Sh_181K17_t000040	6
SP803280_c81191_g1_i1	3
Sspon.008D0005891-mRNA-1	7
SUGdenovo-0676154	3
SUGdenovo-0676155	4
SUGdenovo-0171085	1
c5134f1p01393	1
Sh04_t021630	4
Sspon.007B0004131-mRNA-1	4
SUGdenovo-0532391	4
SUGdenovo-0532392	4
SUGdenovo-0532393	4
SUGdenovo-0275205	5
c65056f1p01670	5
c82781f2p02007	5
c86030f1p02320	6
c12420f2p0725	1
SUGdenovo-0490237	5
SP803280_c109234_g1_i2	1
Sspon.007A0004520-mRNA-1	1
SUGdenovo-0588380	1
c2396f7p1651	1
Sspon.004A0021960-mRNA-1	2
SUGdenovo-0376492	2
SP803280_c92879_g1_i2	1
c585f18p2760	2
Sspon.002B0003780-mRNA-1	2
SP803280_c108189_g1_i2	1
SUGdenovo-0455479	1
c47095f1p01026	1
c16753f2p0691	7
c82582f1p11648	7
Sh03_t030240	7
Sspon.003B0003981-mRNA-1	8
Sspon.002D0019070-mRNA-1	1
c83485f1p02591	1
SUGdenovo-0344829	1
c15681f1p01058	1
SUGdenovo-0003898	1
Sh10_t007900	1
Sspon.002B0017730-mRNA-1	1
SCJFFL3C04B04.b	1
SUGdenovo-0671257	2
c16335f1p0806	1
Sspon.007A0004510-mRNA-1	1
SUGdenovo-0113002	3
Sspon.002A0019843-mRNA-1	1
c78551f2p01143	1
SUGdenovo-0409725	1
Sspon.002C0004070-mRNA-1	1
Sh_206L22_t000030	1
SP803280_c109234_g1_i1	1
c64493f1p1956	1
Sspon.004A0008660-mRNA-1	1
c49675f1p0841	1
Sspon.008C0014600-mRNA-1	1
SUGdenovo-0467356	1
SP803280_c104339_g1_i3	4
evm.model.SCSP803280_000134344.1	1
SCVPRZ2039G04.g	1
SCBGLR1115H11.g	2
Sspon.001B0001230-mRNA-1	4
Sspon.001D0006550-mRNA-1	4
Sspon.001D0006580-mRNA-1	5
Sspon.007A0012661-mRNA-1	5
c69589f1p01568	3
Sh_203E09_t000020	6
SP803280_c112588_g1_i2	3
Sspon.001B0007960-mRNA-1	6
SUGdenovo-0315072	5
SUGdenovo-0755747	1
SUGdenovo-0250198	1
SCJLRT2051F02.g	1
Sspon.001D0039850-mRNA-1	1
Sspon.001D0039950-mRNA-1	1
SP803280_c111398_g2_i7	5
SP803280_c111398_g2_i9	5
Sh05_t005180	8
c46896f1p01068	1
evm.model.SCSP803280_000150820.1	3
Sspon.003D0010811-mRNA-1	4
Sspon.006A0010082-mRNA-1	5
Sspon.001D0018021-mRNA-1	1
Sspon.001C0016691-mRNA-1	1
SP803280_c109130_g1_i2	1
Sh_143I16_t000060	7
SP803280_c109130_g1_i1	2
Sspon.008D0001961-mRNA-1	2
SUGdenovo-0112886	1
Sspon.005A0021870-mRNA-1	7
c51998f1p01203	3
SP803280_c107494_g1_i5	5
SUGdenovo-0109243	6
SUGdenovo-0648770	2
c32583f6p42016	5
c36833f1p21832	5
c85418f1p11633	3
SCEZLB1008B10.g	3
Sspon.007A0005110-mRNA-1	6
SUGdenovo-0529711	3
SUGdenovo-0529715	4
SUGdenovo-0721016	5
c87456f1p02231	3
SUGdenovo-0467359	1
c70701f4p2866	1
Sspon.006D0017281-mRNA-1	1
c34386f2p5854	2
c59324f17p3956	2
c59634f7p4977	3
SCACLR1127E08.g	3
SUGdenovo-0681700	3
c87373f1p02155	7
c95577f1p0961	5
SCRFLR2038B04.g	5
Sh_201I21_t000010	6
SUGdenovo-0165348	5
SUGdenovo-0565484	5
SUGdenovo-0565485	5
Sspon.003D0019540-mRNA-1	1
SUGdenovo-0137065	2
c95187f1p03230	3
SCRUAD1064A02.g	1
SUGdenovo-0513158	7
SCCCCL2001H04.b	1
Sspon.005D0023321-mRNA-1	1
SP803280_c96497_g2_i1	2
Sspon.006A0009011-mRNA-1	2
Sspon.006D0007190-mRNA-1	2
Sspon.006D0007191-mRNA-1	1
SUGdenovo-0464184	1
SP803280_c110556_g1_i2	1
SCBGRT3073D06.g	1
c75653f1p01547	1
SUGdenovo-0455483	1
Sspon.006D0009100-mRNA-1	1
Sspon.008A0019971-mRNA-1	1
Sspon.006D0008960-mRNA-1	1
c108863f1p04585	2
Sspon.006D0023850-mRNA-1	1
SUGdenovo-0245092	1
SUGdenovo-0755744	3
SCEZRZ1017E02.g	1
SUGdenovo-0804637	1
c73104f1p01366	2
c42245f1p11795	4
SP803280_c102057_g1_i5	1
Sspon.002A0038950-mRNA-1	1
SP803280_c91782_g1_i1	5
Sspon.002C0003900-mRNA-1	1
Sspon.008A0006581-mRNA-1	4
Sspon.008B0006760-mRNA-1	3
SUGdenovo-0132948	3
SUGdenovo-0578429	2
SP803280_c90144_g3_i1	5
SP803280_c90144_g3_i2	5
SP803280_c90144_g3_i5	5
SP803280_c90144_g3_i6	5
SP803280_c90144_g3_i8	5
SUGdenovo-0463682	1
Sspon.004C0008630-mRNA-1	1
c17452f3p31617	2
c86712f1p11454	2
c23429f1p1731	1
c119945f1p01044	3
c31257f1p01692	4
c38373f6p31704	3
c74308f1p02376	4
c88966f1p01811	4
SCEPLR1051A07.g	4
Sh_210F11_t000130	3
Sspon.004D0009820-mRNA-1	4
Sspon.007B0012321-mRNA-1	3
SUGdenovo-0755836	1
Sh_210A15_t000030	1
c13894f2p1849	1
Sspon.007B0001655-mRNA-1	3
Sspon.007B0001656-mRNA-1	2
SUGdenovo-0729850	3
SP803280_c109234_g1_i3	1
Sspon.008D0016160-mRNA-1	1
c94242f1p13373	1
SCCCCL7001B09.g	1
SCQSHR1023C06.g	1
SCCCLR2003H06.g	1
c94390f1p1929	1
SUGdenovo-0718217	5
Sh_240H12_t000020	3
SP803280_c107494_g1_i3	3
SP803280_c107494_g1_i4	3
c40543f3p11969	4
c91463f1p01798	4
c96840f2p11826	4
Sspon.006B0009480-mRNA-1	5
Sspon.006C0010471-mRNA-1	4
c25822f1p01671	1
c52646f1p01139	1
SP803280_c102057_g1_i3	1
SP803280_c118495_g1_i3	3
c124246f1p21147	1
Sspon.002B0003390-mRNA-1	1
Sspon.007A0012652-mRNA-1	1
c96103f1p01566	1
SCMCLR1032E03.g	1
c56667f1p0958	1
c30146f1p21930	3
c67768f1p21890	2
c69713f1p31901	3
Sspon.002B0019770-mRNA-1	2
Sspon.002C0022630-mRNA-1	3
SCCCLB2003E11.g	1
SP803280_c111398_g2_i1	4
SP803280_c111398_g2_i4	4
SP803280_c111398_g2_i8	4
SP803280_c111398_g2_i5	1
SUGdenovo-0513149	6
SUGdenovo-0513164	6
SUGdenovo-0513168	6
SUGdenovo-0513171	6
SUGdenovo-0513172	6
SUGdenovo-0513183	6
SP803280_c15299_g1_i1	1
c55754f1p0858	4
c87054f1p02277	4
SCAGLR2018E09.g	4
SP803280_c108189_g1_i1	4
c67217f1p01894	2
SUGdenovo-0831159	1
c94760f1p43082	2
c98807f1p12984	2
SP803280_c114107_g1_i3	3
Sspon.006C0009010-mRNA-1	1
c57688f1p43030	3
Sspon.003D0010790-mRNA-1	4
c61241f2p11113	1
c106120f1p04405	1
c107773f1p04622	1
c102891f3p54833	4
c111611f1p44178	4
c50139f1p01966	5
Sspon.007A0012651-mRNA-1	5
c38872f1p01212	2
SUGdenovo-0789085	2
Sspon.003B0012590-mRNA-1	1
c45366f1p12001	1
c96249f1p33100	2
Sh_225K23_t000040	1
SUGdenovo-0426731	1
SUGdenovo-0813296	1
evm.model.SCSP803280_000138036.1	1
Sspon.007A0005432-mRNA-1	1
SUGdenovo-0052378	1
SUGdenovo-0648768	1
Sh02_t011680	1
c91418f1p21955	4
SCMCRT2086D03.g	1
c3128f1p21752	1
c94027f1p03407	2
SCRLFL1007F09.g	1
SCJLRT1017B04.g	3
SUGdenovo-0831154	1
c120759f1p05039	2
evm.model.SCSP803280_000094067.1	2
SUGdenovo-0006978	1
Sh_204G15_t000190	1
SP803280_c118495_g1_i1	3
SUGdenovo-0751791	3
Sh_207K10_t000010	1
SCQSST1036A08.g	2
SUGdenovo-0559433	1
SUGdenovo-0741414	2
c32548f2p01577	1
c34578f1p01653	1
c40633f1p2699	1
SP803280_c111716_g1_i1	1
SUGdenovo-0455478	1
SCEZRZ1015H08.g	1
c96211f1p01909	1
Sspon.001B0019620-mRNA-1	1
Sh08_t000640	1
Sh01_t036690	2
Sspon.007D0011021-mRNA-1	1
SCJFRZ1007C06.g	1
SP803280_c109890_g1_i1	1
c104575f1p04835	1
Sspon.002B0036730-mRNA-1	1
c96514f1p11725	1
Sspon.004B0008170-mRNA-1	1
SP803280_c118495_g1_i2	1
c61876f1p11414	1
SCVPCL6061A06.g	2
SP803280_c102161_g2_i1	3
Sspon.002D0023790-mRNA-1	3
Sspon.ctg0253170-mRNA-1	3
SP803280_c102083_g2_i1	2
Sspon.007D0012930-mRNA-1	2
Sspon.007A0014980-mRNA-1	1
Sspon.007B0004550-mRNA-1	1
SP803280_c113038_g2_i1	1
Sspon.004A0004010-mRNA-1	1
SUGdenovo-0503938	1
Sspon.001C0007800-mRNA-1	1
c48598f1p01601	1
SUGdenovo-0560132	1
Sspon.007A0022831-mRNA-1	1
SUGdenovo-0854322	1
c74232f1p0968	1
SP803280_c105450_g4_i2	1
SCCCCL3001E09.b	1
Sspon.005C0022041-mRNA-1	1
Sspon.001A0017060-mRNA-1	1
SCVPRZ2039F06.g	1
SUGdenovo-0405622	1
SP803280_c109038_g3_i2	1
SCEQAM1036A06.g	1
SP803280_c84475_g1_i2	1
Sh_223D02_t000060	1
Sspon.003D0011420-mRNA-1	1
SP803280_c110556_g1_i1	1
Sspon.004B0002840-mRNA-1	1
Sspon.007B0004891-mRNA-1	1
SP803280_c104733_g1_i1	1
c21550f1p01786	1
Sh02_t012250	1
c46829f1p01289	1
SCJLRZ1018C05.g	1
c53724f1p0894	1
SP803280_c114107_g1_i1	2
SCVPFL1065E04.g	1
SUGdenovo-0578655	1
Sspon.002B0024990-mRNA-1	1
c48056f1p01253	2
SUGdenovo-0683309	2
SUGdenovo-0320831	1
c62079f1p01071	1
SP803280_c90144_g5_i1	2
SCACLR1036G09.g	1
SCUTAM2087H12.g	1
SUGdenovo-0455481	1
SUGdenovo-0168671	1
c26580f1p02481	1
