Amplicon	NumberOfIsoformsTargettedByAmplicon
c103193f2p14846.2	1
SCSGRT2062A03.g.1	1
c12256f3p21988.1	1
SCCCLR2003H03.g.2	1
Sspon.004D0003820-mRNA-1.2	1
Sh_245I08_t000020.1	13
SP803280_c111302_g1_i1.1	13
Sspon.004B0001580-mRNA-1.1	13
Sspon.ctg0635880-mRNA-1.1	13
c83565f1p11061.2	1
c94604f1p02839.1	1
SP803280_c102057_g1_i4.1	1
SCAGRT2037G07.g.2	1
Sspon.005D0026340-mRNA-1.1	1
Sspon.001C0001273-mRNA-1.1	7
SUGdenovo-0683306.1	7
SUGdenovo-0573335.1	6
SUGdenovo-0573368.1	6
SUGdenovo-0573366.1	2
SCCCCL3002E04.b.2	1
SUGdenovo-0856217.2	1
c54803f1p01052.1	1
c33409f1p0527.1	1
c110831f1p14803.4	1
SCCCCL4003E08.g.2	1
SUGdenovo-0737839.5	1
evm.model.SCSP803280_000108937.1.1	2
SP803280_c113979_g1_i7.1	13
Sspon.007D0004490-mRNA-1.1	13
SUGdenovo-0656350.1	13
SUGdenovo-0656352.1	13
SUGdenovo-0656356.1	13
SUGdenovo-0656359.1	13
SUGdenovo-0656362.1	13
SUGdenovo-0633536.1	3
SUGdenovo-0633537.1	3
SUGdenovo-0633539.1	3
SUGdenovo-0242227.2	2
SP803280_c113979_g1_i5.1	1
SUGdenovo-0803922.1	1
SUGdenovo-0813275.1	3
c107291f1p04993.1	1
Sspon.001C0009296-mRNA-1.2	1
Sspon.002B0016530-mRNA-1.2	2
c93457f1p21792.2	5
SUGdenovo-0693891.2	5
Sspon.003A0008840-mRNA-1.2	1
Sspon.004D0003801-mRNA-1.1	1
SUGdenovo-0243174.2	1
Sh_213B02_t000100.3	1
c40142f1p0864.1	1
Sspon.001B0020870-mRNA-1.1	1
c52116f1p11616.1	1
SUGdenovo-0529712.4	1
SUGdenovo-0741424.3	1
SUGdenovo-0721397.2	1
c23868f1p01506.1	1
Sspon.007B0014930-mRNA-1.3	1
SUGdenovo-0475929.2	1
SP803280_c97445_g1_i1.1	1
SUGdenovo-0464186.1	13
SUGdenovo-0464190.1	13
SUGdenovo-0464192.1	13
SUGdenovo-0464193.1	13
SUGdenovo-0464195.1	13
SUGdenovo-0464197.1	13
SUGdenovo-0640170.1	13
Sspon.005B0022823-mRNA-1.2	1
Sh_230K22_t000010.1	1
SUGdenovo-0648769.3	1
c99445f1p02662.1	1
SUGdenovo-0588374.1	5
SUGdenovo-0588381.1	5
c85086f1p11620.1	2
Sspon.001C0013532-mRNA-1.2	2
Sspon.001B0016850-mRNA-1.2	3
Sspon.001D0014560-mRNA-1.1	1
c92121f1p23190.1	1
SCEZAD1079D11.g.2	1
c104592f1p34438.1	1
Sspon.007C0009570-mRNA-1.2	1
Sspon.004C0025730-mRNA-1.1	2
evm.model.SCSP803280_000039997.1.2	1
Sspon.002B0009261-mRNA-1.1	1
Sspon.002A0010990-mRNA-1.2	1
c71781f1p21771.2	3
Sh_218I18_t000060.2	3
c31450f2p11524.1	1
c36835f1p01047.1	17
c53459f1p0588.1	17
c72732f3p71794.2	17
c73413f1p11483.2	17
Sspon.002A0011000-mRNA-1.2	17
SUGdenovo-0559430.2	17
SUGdenovo-0559434.2	17
SUGdenovo-0559436.2	17
SUGdenovo-0559437.2	17
SUGdenovo-0559438.2	17
SUGdenovo-0559439.2	17
SUGdenovo-0741417.2	17
SUGdenovo-0741419.2	17
c44774f1p01724.3	2
c55701f6p81837.2	2
Sspon.001B0024111-mRNA-1.1	1
SCCCAM2001C04.g.1	1
SCAGCL6016B11.g.2	1
c106705f1p04726.1	1
SP803280_c95707_g1_i1.2	1
Sspon.003A0008781-mRNA-1.2	1
SUGdenovo-0627193.3	1
Sh03_t019620.1	1
Sspon.007D0005020-mRNA-1.1	1
c96403f1p01132.1	1
SP803280_c117758_g1_i6.2	1
Sh09_t008050.2	1
Sh_204N17_t000120.1	4
Sspon.002B0003370-mRNA-1.1	1
SUGdenovo-0010500.2	1
SUGdenovo-0861201.2	1
Sspon.007C0001731-mRNA-1.5	1
SUGdenovo-0042325.1	1
Sspon.001A0013240-mRNA-1.1	1
c85539f1p01589.2	12
SP803280_c83905_g3_i2.1	12
SUGdenovo-0588385.1	12
SUGdenovo-0789084.2	1
c20438f1p01133.1	9
c22245f1p01070.1	9
c48807f1p01005.1	9
Sh01_t007730.1	9
Sh_033L20_t000050.1	9
Sh_119J13_t000070.1	9
SP803280_c99080_g2_i1.1	9
SUGdenovo-0215753.2	1
Sspon.001D0035010-mRNA-1.1	1
c4404f1p21394.1	1
evm.model.SCSP803280_000001928.1.1	3
c109229f1p25089.1	5
evm.model.SCSP803280_000112942.1.1	5
SP803280_c105450_g4_i1.2	1
c117515f2p56249.1	1
SUGdenovo-0014815.1	1
Sspon.001A0001290-mRNA-1.2	1
SUGdenovo-0513165.2	1
SUGdenovo-0293362.1	1
SUGdenovo-0634785.2	1
SUGdenovo-0758462.2	1
Sh_027I16_t000100.3	1
Sspon.003A0008820-mRNA-1.1	2
SUGdenovo-0165653.1	1
SUGdenovo-0211425.1	1
Sspon.002D0018250-mRNA-1.2	1
Sspon.006D0010140-mRNA-1.2	1
Sspon.004C0022120-mRNA-1.2	1
c97781f1p0688.1	1
c34690f1p01039.1	17
c63974f1p0958.1	17
c84234f1p11167.1	17
c95057f1p13337.1	17
SCJFST1048E05.g.1	17
SP803280_c109890_g2_i1.1	17
Sspon.003B0011960-mRNA-1.1	17
c29221f1p31491.1	1
Sspon.006B0009490-mRNA-1.2	1
Sh03_t020060.1	1
c120912f1p61919.1	3
Sspon.003D0011490-mRNA-1.1	3
SUGdenovo-0758459.2	1
Sspon.003A0008270-mRNA-1.3	1
Sh_032N03_t000060.1	1
Sh_001G20_t000030.1	1
c45072f1p0861.2	1
Sh_014G09_t000060.2	1
Sh_181K17_t000040.2	5
SP803280_c81191_g1_i1.1	5
SUGdenovo-0676154.1	5
SUGdenovo-0171085.2	1
SP803280_c111302_g1_i3.2	1
SP803280_c113038_g1_i2.3	1
Sspon.001C0013510-mRNA-1.4	1
c5134f1p01393.1	1
Sh04_t021630.2	1
SUGdenovo-0532392.1	15
c52654f1p01702.2	7
SP803280_c113979_g1_i1.1	5
c65056f1p01670.1	3
c82781f2p02007.1	3
c12420f2p0725.2	1
Sspon.002D0008460-mRNA-1.4	1
SUGdenovo-0490237.3	1
SP803280_c109234_g1_i2.2	1
Sspon.007A0004520-mRNA-1.1	1
Sspon.003A0022330-mRNA-1.3	1
SUGdenovo-0588380.1	1
c2396f7p1651.2	4
SP803280_c92879_g1_i2.1	1
c585f18p2760.2	2
Sspon.002B0003780-mRNA-1.1	2
SP803280_c108189_g1_i2.2	1
SUGdenovo-0455479.1	1
c47095f1p01026.3	1
Sspon.003C0006180-mRNA-1.2	1
c16753f2p0691.1	10
c82582f1p11648.2	10
c83446f1p03632.3	10
c87776f1p13420.4	10
Sh03_t030240.3	10
Sspon.003C0006231-mRNA-1.3	10
Sspon.003D0003350-mRNA-1.3	10
Sspon.002D0019070-mRNA-1.1	2
c43316f1p11981.3	9
SUGdenovo-0532393.2	14
SUGdenovo-0532391.2	13
c83485f1p02591.1	1
SUGdenovo-0344829.1	1
c15681f1p01058.1	1
SUGdenovo-0003898.1	1
Sh10_t007900.2	1
SUGdenovo-0741961.3	1
Sspon.002B0017730-mRNA-1.1	1
SCJFFL3C04B04.b.1	1
SUGdenovo-0671257.2	1
c16335f1p0806.1	1
Sspon.007A0004510-mRNA-1.4	1
SUGdenovo-0113002.2	1
Sspon.002A0019843-mRNA-1.4	1
c78551f2p01143.1	1
SUGdenovo-0409725.1	1
Sspon.002C0004070-mRNA-1.2	1
Sh_206L22_t000030.2	1
SP803280_c109234_g1_i1.2	1
c64493f1p1956.1	1
Sspon.004A0008660-mRNA-1.1	1
c49675f1p0841.1	1
SUGdenovo-0683308.3	1
Sspon.008C0014600-mRNA-1.2	1
SUGdenovo-0467356.1	1
SP803280_c104339_g1_i3.2	1
c47740f1p01562.3	1
evm.model.SCSP803280_000134344.1.3	1
SCVPRZ2039G04.g.3	2
SCBGLR1115H11.g.1	5
Sspon.001B0001230-mRNA-1.1	5
c69589f1p01568.1	5
SP803280_c112588_g1_i2.1	5
SUGdenovo-0315072.1	5
SUGdenovo-0755747.1	1
SUGdenovo-0250198.1	1
SP803280_c83905_g1_i1.2	1
SCJLRT2051F02.g.1	1
Sspon.001D0039850-mRNA-1.1	1
Sspon.001D0039950-mRNA-1.1	1
SP803280_c111398_g2_i7.1	2
Sh05_t005180.2	1
c46896f1p01068.3	1
evm.model.SCSP803280_000150820.1.3	7
SCJLLR1033F02.g.2	7
SUGdenovo-0741962.2	7
Sspon.003D0010811-mRNA-1.2	1
SP803280_c103827_g4_i1.2	1
Sspon.006A0010082-mRNA-1.2	1
Sspon.001D0018021-mRNA-1.1	1
Sspon.001C0016691-mRNA-1.1	1
SCQSLR1040B05.g.2	1
SP803280_c109130_g1_i2.1	1
SUGdenovo-0112886.1	5
c94331f1p13803.1	1
Sspon.005A0021870-mRNA-1.4	1
SP803280_c107494_g1_i5.1	5
SUGdenovo-0648770.1	5
c85418f1p11633.1	10
SUGdenovo-0529711.1	10
c87456f1p02231.2	1
SUGdenovo-0467359.1	1
c70701f4p2866.1	1
Sspon.006D0017281-mRNA-1.1	1
c34386f2p5854.1	2
c59324f17p3956.1	2
c59634f7p4977.1	4
SCACLR1127E08.g.1	4
SUGdenovo-0681700.1	4
c95577f1p0961.2	9
SCRFLR2038B04.g.2	9
SUGdenovo-0165348.1	9
SUGdenovo-0565484.2	9
SUGdenovo-0565485.2	9
Sspon.003D0019540-mRNA-1.2	2
c60360f1p11095.2	4
c75081f1p01031.2	4
c79131f4p0843.1	1
c122514f1p1915.1	1
c95187f1p03230.1	1
SCRUAD1064A02.g.1	1
SUGdenovo-0513158.3	1
SCCCCL2001H04.b.1	1
Sspon.007A0005110-mRNA-1.4	1
Sspon.005D0023321-mRNA-1.6	1
c99449f1p22948.1	1
Sspon.006D0007191-mRNA-1.1	4
SUGdenovo-0464184.1	1
SP803280_c110556_g1_i2.1	1
SCBGRT3073D06.g.2	1
c75653f1p01547.1	1
SUGdenovo-0455483.1	1
c86030f1p02320.1	1
c108473f1p45077.1	1
Sspon.006D0009100-mRNA-1.1	1
SUGdenovo-0723453.2	1
SP803280_c109130_g1_i1.2	1
Sh_143I16_t000060.5	2
Sspon.008A0019971-mRNA-1.1	1
Sspon.006D0008960-mRNA-1.1	1
c108863f1p04585.1	1
Sspon.006D0023850-mRNA-1.1	1
SUGdenovo-0245092.2	1
SUGdenovo-0755744.2	1
SCEZRZ1017E02.g.3	1
c98012f1p02404.1	1
SUGdenovo-0804637.1	1
Sspon.001D0014570-mRNA-1.4	1
c73104f1p01366.1	2
Sh_230M24_t000030.3	2
c42245f1p11795.1	10
SCCCLR1C06G07.g.3	10
SP803280_c104218_g1_i1.3	10
Sspon.007B0001690-mRNA-1.2	10
SP803280_c102057_g1_i5.1	1
Sh05_t000460.5	1
Sspon.004A0002360-mRNA-1.2	1
c110359f1p04002.1	1
SP803280_c111302_g1_i2.2	1
Sspon.002A0038950-mRNA-1.2	1
SP803280_c91782_g1_i1.2	1
Sspon.002C0003900-mRNA-1.2	1
SUGdenovo-0676155.2	1
c114763f1p14309.1	1
Sspon.008B0006760-mRNA-1.2	7
SUGdenovo-0578429.1	7
SP803280_c90144_g3_i1.1	10
SP803280_c90144_g3_i2.1	10
SP803280_c90144_g3_i5.1	10
SP803280_c90144_g3_i6.1	10
SP803280_c90144_g3_i8.1	10
SUGdenovo-0463682.1	1
c86378f1p23317.1	1
Sspon.004C0008630-mRNA-1.1	1
c17452f3p31617.1	2
c86712f1p11454.1	2
c23429f1p1731.2	1
c119945f1p01044.2	10
c38373f6p31704.1	10
Sh_210F11_t000130.1	10
c8467f1p01081.1	1
c87373f1p02155.1	1
Sspon.007B0012321-mRNA-1.3	1
SUGdenovo-0755836.1	1
Sh_210A15_t000030.2	1
c54637f1p11006.2	6
SP803280_c100836_g2_i2.2	6
SUGdenovo-0654011.2	6
SUGdenovo-0654014.2	6
Sspon.004A0021251-mRNA-1.2	2
Sspon.004A0021261-mRNA-1.2	2
c13894f2p1849.2	1
c94802f1p53323.2	13
Sspon.007B0001656-mRNA-1.1	13
SP803280_c109234_g1_i3.2	1
Sspon.008D0016160-mRNA-1.1	1
c94242f1p13373.1	1
SCCCCL7001B09.g.2	1
SCQSHR1023C06.g.2	1
SUGdenovo-0654006.2	1
SCCCLR2003H06.g.1	1
SP803280_c83905_g3_i1.2	3
c94390f1p1929.1	1
SUGdenovo-0109243.3	1
SUGdenovo-0718217.3	1
Sh_240H12_t000020.1	5
SP803280_c107494_g1_i3.1	5
SP803280_c107494_g1_i4.1	5
SUGdenovo-0588383.3	2
c40543f3p11969.1	9
c91463f1p01798.1	9
c96840f2p11826.1	9
Sspon.006C0010471-mRNA-1.1	9
c25822f1p01671.1	1
c52646f1p01139.1	1
SP803280_c102057_g1_i3.1	1
SP803280_c118495_g1_i3.5	1
c124246f1p21147.1	1
Sspon.002B0003390-mRNA-1.2	1
Sspon.007A0012652-mRNA-1.2	1
c96103f1p01566.1	1
SCMCLR1032E03.g.1	1
c56667f1p0958.1	1
Sh_234G14_t000100.5	1
c67768f1p21890.1	8
Sspon.002B0019770-mRNA-1.2	8
c109846f1p14882.1	1
Sspon.001B0007960-mRNA-1.4	1
SCCCLB2003E11.g.1	1
SP803280_c111398_g2_i1.2	7
SP803280_c111398_g2_i4.2	7
SP803280_c111398_g2_i8.1	7
SP803280_c111398_g2_i9.2	7
SP803280_c111398_g2_i5.1	1
SUGdenovo-0513149.2	8
SUGdenovo-0513164.1	8
SUGdenovo-0513168.2	8
SUGdenovo-0513171.1	8
SUGdenovo-0513172.2	8
SUGdenovo-0513183.1	8
SP803280_c15299_g1_i1.1	1
c69516f1p01677.1	1
Sspon.003B0012610-mRNA-1.3	1
SP803280_c118160_g3_i1.4	1
SUGdenovo-0741421.4	1
c55754f1p0858.1	7
c87054f1p02277.2	7
SCAGLR2018E09.g.2	7
SP803280_c108189_g1_i1.2	7
Sspon.006D0007190-mRNA-1.2	1
SUGdenovo-0701690.3	1
c30193f1p01744.3	3
c87805f1p02026.3	4
SUGdenovo-0831159.2	1
Sspon.006C0009010-mRNA-1.1	9
c57688f1p43030.1	2
evm.model.SCSP803280_000004459.1.2	8
Sh03_t020670.2	8
SUGdenovo-0712584.2	8
c61241f2p11113.1	1
SUGdenovo-0557348.5	1
c106120f1p04405.2	1
c107773f1p04622.2	1
c104930f1p15167.1	1
c102891f3p54833.1	8
c111611f1p44178.1	8
c118772f1p46702.2	8
c120203f1p05696.2	8
c38872f1p01212.1	7
SUGdenovo-0789085.1	7
SCEPLR1051A07.g.2	1
Sspon.002C0022630-mRNA-1.2	1
Sspon.003B0012590-mRNA-1.1	1
c45366f1p12001.2	1
Sh_225K23_t000040.1	4
SUGdenovo-0426731.2	1
Sspon.007A0012651-mRNA-1.2	1
SUGdenovo-0813296.2	1
evm.model.SCSP803280_000138036.1.1	1
c51998f1p01203.1	1
Sspon.007A0005432-mRNA-1.3	1
c96249f1p33100.1	1
SUGdenovo-0052378.1	3
SUGdenovo-0648768.2	1
Sh02_t011680.1	1
SCEZLB1008B10.g.2	1
c32583f6p42016.2	10
SUGdenovo-0529715.2	10
Sh_201I21_t000010.3	1
SCMCRT2086D03.g.2	1
c3128f1p21752.1	1
Sspon.003D0010790-mRNA-1.2	1
c94027f1p03407.1	1
SUGdenovo-0132948.2	1
SCRLFL1007F09.g.2	1
c82935f1p01654.1	1
Sh_203E09_t000020.4	1
SUGdenovo-0316041.3	1
SUGdenovo-0729850.2	1
Sspon.008D0001961-mRNA-1.6	1
SCJLRT1017B04.g.3	1
SP803280_c109961_g1_i2.4	1
SUGdenovo-0831154.2	1
c61025f1p11238.1	1
c120759f1p05039.1	1
Sh_247D17_t000100.3	1
evm.model.SCSP803280_000094067.1.1	1
SUGdenovo-0006978.2	1
Sh_204G15_t000190.2	7
c30146f1p21930.1	1
Sh_207K10_t000010.4	1
SUGdenovo-0751791.5	1
c103699f2p14891.5	4
SCQSST1036A08.g.1	4
SUGdenovo-0559433.1	22
c32548f2p01577.1	1
c34578f1p01653.2	3
c40633f1p2699.2	4
SUGdenovo-0690976.2	1
c69713f1p31901.1	1
c88966f1p01811.1	1
c68454f1p01600.1	1
Sspon.002C0020910-mRNA-1.2	1
SP803280_c111716_g1_i1.2	1
Sspon.007A0012661-mRNA-1.4	1
SUGdenovo-0455478.1	1
SP803280_c107577_g2_i2.4	1
SCEZRZ1015H08.g.3	1
c96211f1p01909.1	1
Sspon.003D0010721-mRNA-1.3	1
Sspon.001B0019620-mRNA-1.2	1
Sh08_t000640.4	5
c50139f1p01966.1	1
Sh01_t036690.1	10
Sspon.001D0006550-mRNA-1.3	10
Sspon.007D0011021-mRNA-1.2	1
SCJFRZ1007C06.g.1	1
SP803280_c109890_g1_i1.2	1
Sspon.003B0003981-mRNA-1.3	1
Sspon.004A0021960-mRNA-1.2	1
SUGdenovo-0376492.2	1
SUGdenovo-0190278.2	1
SUGdenovo-0633534.4	16
c104575f1p04835.1	1
Sspon.002B0036730-mRNA-1.2	1
c96514f1p11725.1	1
Sspon.004B0008170-mRNA-1.2	1
SP803280_c118495_g1_i2.1	4
c11352f1p51622.1	4
c61876f1p11414.2	1
SUGdenovo-0661770.3	1
SCVPCL6061A06.g.1	6
SUGdenovo-0427574.2	6
SP803280_c102161_g2_i1.1	3
Sspon.002D0023790-mRNA-1.1	3
Sspon.ctg0253170-mRNA-1.1	3
SP803280_c102083_g2_i1.1	3
Sspon.007A0014980-mRNA-1.1	1
c36833f1p21832.4	3
Sspon.007B0004550-mRNA-1.1	4
SP803280_c113038_g2_i1.2	1
Sspon.004A0004010-mRNA-1.2	1
SUGdenovo-0503938.2	1
SUGdenovo-0137065.3	1
Sspon.001C0007800-mRNA-1.1	1
Sspon.007D0012930-mRNA-1.2	3
SP803280_c104095_g1_i2.2	1
Sspon.006A0009011-mRNA-1.2	1
c48598f1p01601.1	1
SUGdenovo-0560132.1	1
Sspon.007A0022831-mRNA-1.4	1
Sspon.007B0001655-mRNA-1.2	1
SUGdenovo-0574548.3	5
SUGdenovo-0854322.2	1
c85114f1p02729.2	1
c112768f1p14595.2	1
Sspon.007A0002580-mRNA-1.1	1
Sspon.004D0009820-mRNA-1.2	1
c31257f1p01692.1	1
c74232f1p0968.2	1
SP803280_c105450_g4_i2.1	4
SUGdenovo-0741414.3	1
c87041f1p13312.1	1
c27862f1p21143.1	1
SCCCCL3001E09.b.2	2
SP803280_c107201_g1_i3.4	1
Sspon.005C0022041-mRNA-1.3	1
Sspon.001A0017060-mRNA-1.1	1
Sspon.006B0009480-mRNA-1.2	1
SCVPRZ2039F06.g.1	1
SUGdenovo-0405622.2	1
SP803280_c107577_g2_i1.4	1
SP803280_c109038_g3_i2.2	1
c40162f1p01401.1	1
SCEQAM1036A06.g.2	1
SP803280_c84475_g1_i2.1	1
SUGdenovo-0275205.5	1
Sspon.008D0005891-mRNA-1.4	1
c91418f1p21955.1	1
Sh_223D02_t000060.3	1
Sspon.002A0019310-mRNA-1.5	1
SP803280_c96497_g2_i1.2	1
c74308f1p02376.1	1
Sspon.003D0011420-mRNA-1.2	1
Sh_205A13_t000010.5	1
SP803280_c110556_g1_i1.1	1
Sspon.003D0010410-mRNA-1.5	1
Sspon.004B0002840-mRNA-1.2	1
Sspon.004C0002831-mRNA-1.2	1
Sspon.007B0004131-mRNA-1.4	1
Sspon.007B0004891-mRNA-1.1	1
SP803280_c104733_g1_i1.1	3
c21550f1p01786.1	1
c96777f1p03290.2	3
c92367f1p13038.3	5
c65619f1p01564.2	5
c119143f1p42180.1	1
Sh02_t012250.3	1
c30296f2p11991.1	1
c46829f1p01289.1	1
c67217f1p01894.1	1
SCJLRZ1018C05.g.2	1
c53724f1p0894.1	2
c94760f1p43082.2	2
SP803280_c114107_g1_i1.1	4
SP803280_c114107_g1_i3.2	4
c98807f1p12984.3	1
SCVPFL1065E04.g.1	1
Sspon.003C0015582-mRNA-1.5	1
SUGdenovo-0578655.2	1
Sspon.002B0024990-mRNA-1.2	1
c48056f1p01253.2	3
SUGdenovo-0683309.1	3
Sspon.001D0001620-mRNA-1.2	1
c81821f1p12250.3	1
c97080f1p02059.2	5
SUGdenovo-0573337.2	5
SUGdenovo-0573344.2	5
SUGdenovo-0573353.2	5
SUGdenovo-0320831.2	1
evm.model.SCSP803280_000096519.3.1	1
c62079f1p01071.1	1
SP803280_c90144_g5_i1.1	4
Sspon.008A0006581-mRNA-1.1	4
SCACLR1036G09.g.1	4
SUGdenovo-0721016.4	1
SCUTAM2087H12.g.2	1
SUGdenovo-0455481.1	1
SP803280_c118495_g1_i1.5	1
SUGdenovo-0168671.1	1
SP803280_c117830_g1_i1.6	1
Sspon.001D0006580-mRNA-1.4	1
c26580f1p02481.1	1
